Value Research,,,,,
Generate on: 23-Jul-2020 06:29,,,,,
,,,,,
All Equity Funds,,,,,
,,,,,
Fund Name,3 Yr Ret (%),5 Yr Ret (%),10 Yr Ret (%),15 Yr Ret (%),20 Yr Ret (%)
HSBC Brazil Fund,-0.36,2.76,NA,NA,NA
HSBC Brazil Fund - Direct Plan,0.38,NA,NA,NA,NA
HSBC Focused Equity Fund - Direct Plan,NA,NA,NA,NA,NA
HSBC Focused Equity Fund - Regular Plan,NA,NA,NA,NA,NA
HSBC Global Consumer Opportunities Fund - Direct Plan,11.22,9.21,NA,NA,NA
HSBC Global Consumer Opportunities Fund - Regular Plan,10.43,8.44,NA,NA,NA
HSBC Global Emerging Markets Fund,7.43,8.21,5.93,NA,NA
HSBC Global Emerging Markets Fund - Direct Plan,8.20,NA,NA,NA,NA
HSBC Infrastructure Equity Fund,-17.85,-8.43,-0.81,NA,NA
HSBC Infrastructure Equity Fund - Direct Plan,-17.06,-7.64,NA,NA,NA
HSBC Large and Mid Cap Equity Fund - Direct Plan,NA,NA,NA,NA,NA
HSBC Large and Mid Cap Equity Fund - Regular Plan,NA,NA,NA,NA,NA
HSBC Large Cap Equity Fund,2.83,6.17,7.63,11.62,NA
HSBC Large Cap Equity Fund - Direct Plan,3.67,6.99,NA,NA,NA
HSBC Multi Cap Equity Fund,-1.38,3.64,9.08,11.81,NA
HSBC Multi Cap Equity Fund - Direct Plan,-0.48,4.51,NA,NA,NA
HSBC Small Cap Equity Fund,-8.69,-0.07,5.63,8.65,NA
HSBC Small Cap Equity Fund - Direct Plan,-7.76,0.84,NA,NA,NA
HSBC Tax Saver Equity Fund,-1.93,4.31,8.86,NA,NA
HSBC Tax Saver Equity Fund - Direct Plan,-1.01,5.20,NA,NA,NA
ICICI Prudential Bank ETF,NA,NA,NA,NA,NA
ICICI Prudential Banking and Financial Services Fund,-4.40,5.92,11.83,NA,NA
ICICI Prudential Banking and Financial Services Fund - Direct Plan,-3.38,7.12,NA,NA,NA
ICICI Prudential BHARAT 22 FOF,NA,NA,NA,NA,NA
ICICI Prudential BHARAT 22 FOF - Direct Plan,NA,NA,NA,NA,NA
ICICI Prudential Bharat Consumption Fund,NA,NA,NA,NA,NA
